2022-01-17 13:01:46 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 13:01:378 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 13:01:655 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 13:01:640 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (a9c8514cc83c8d5790ea39124bc32e83)] -> xpath: //a[contains(text(),'Log In')]]
2022-01-17 13:01:519 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 13:01:823 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (8b4b008f0761273b3fc494873b6ab103)] -> xpath: //a[contains(text(),'Log In')]]
2022-01-17 13:01:900 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (8b4b008f0761273b3fc494873b6ab103)] -> xpath: //a[contains(text(),'Log In')]]
2022-01-17 13:01:290 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 13:01:689 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (8ff9bc1b850711bed03743cf9ce7e83e)] -> xpath: //a[contains(text(),'Log In')]]
2022-01-17 13:01:792 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (8ff9bc1b850711bed03743cf9ce7e83e)] -> xpath: //a[contains(text(),'Log In')]]
2022-01-17 13:01:956 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 14:01:521 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 14:01:898 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 14:01:681 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 14:01:445 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 14:01:397 INFO  ManageDriver :30 - Launching chrome Browser
2022-01-17 14:01:269 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (f12dae201654f23bcff0cf883b007cd7)] -> xpath: //a[contains(text(),'Log In')]]
2022-01-17 14:01:406 INFO  HomePage :22 - Clicking on login button[[ChromeDriver: chrome on WINDOWS (f12dae201654f23bcff0cf883b007cd7)] -> xpath: //a[contains(text(),'Log In')]]
